Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
69,54,2022-03-16,29-263,UTA,,CHI,W (+15),1,33:28,.658,.625,20.5,47.8,34.1,8.2,1.4,10.1,8.6,14.9,149,97,21.0,7.5
70,55,2022-03-18,29-265,UTA,,LAC,W (+29),1,26:32,.771,.727,28.9,27.8,28.4,11.1,0.0,3.5,14.0,22.5,151,94,22.6,10.5
71,56,2022-03-20,29-267,UTA,@,NYK,W (+15),1,33:05,.845,.667,12.1,17.4,15.2,0.0,0.0,13.5,10.8,13.8,169,103,16.8,4.1
72,57,2022-03-21,29-268,UTA,@,BRK,L (-8),1,30:34,.814,.800,0.0,19.0,8.1,5.1,0.0,0.0,12.9,11.5,144,127,9.2,-2.0
73,58,2022-03-23,29-270,UTA,@,BOS,L (-28),1,30:25,.810,.667,13.4,34.5,22.0,5.5,1.7,0.0,10.4,13.7,164,136,16.6,6.3
74,59,2022-03-25,29-272,UTA,@,CHO,L (-6),1,37:25,.698,.714,6.8,48.5,29.4,4.1,0.0,2.4,11.3,11.4,131,110,13.0,-0.8
75,,2022-03-27,29-274,UTA,@,DAL,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,60,2022-03-29,29-276,UTA,@,LAC,L (-6),1,38:26,.467,.571,15.1,39.4,28.1,3.3,2.7,8.0,23.7,15.1,90,119,9.9,-3.8
77,61,2022-03-31,29-278,UTA,,LAL,W (+13),1,36:05,.836,.818,13.3,42.2,27.9,0.0,1.4,4.6,11.8,20.8,153,105,26.0,7.2
78,62,2022-04-02,29-280,UTA,@,GSW,L (-4),1,37:32,.579,.556,13.6,46.8,29.1,4.0,2.7,0.0,14.2,16.3,118,111,16.0,1.6
79,63,2022-04-05,29-283,UTA,,MEM,W (+6),1,34:17,.691,.625,17.2,40.0,29.0,0.0,1.4,2.2,15.9,22.3,129,95,21.4,5.1
80,64,2022-04-06,29-284,UTA,,OKC,W (+36),1,26:09,.929,1.000,9.9,29.4,21.1,5.7,2.0,6.9,0.0,18.1,188,100,22.6,12.3
81,65,2022-04-08,29-286,UTA,,PHO,L (-6),1,33:03,.730,.714,8.7,32.7,19.4,10.5,0.0,2.0,26.7,19.1,114,114,13.2,1.3
82,66,2022-04-10,29-288,UTA,@,POR,W (+31),1,29:38,.740,.667,11.6,32.4,22.9,5.3,0.0,6.6,14.1,19.8,139,80,18.2,6.2
